country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.7,25.7,25.7,25.7,25.7,36.7,44,69.7,91.7,235,473,601,678,766,711,726,733,785,876,975,1030,1070,1090,730,1050,1060,1330,1230,1100,1160,1290,1300,741,704,895,821,964,1200,1300,1130,1320,1290,1760,1650,1560,1800,2140,2280,2420,2590,3120,3590,4280,4220,4590,5260,6090,7360,8110,7480,10400,12200,13400,16700,19300,19500,21200,19400,15200,15000,17200,20200,16700,16400,22200,24100,13500,22700,24000,18200,22300,21400,20600,23000,24800,26800,28800,30000,28500,31600,33400,35500,35900,35900,31900,40700,45500,42700,40600,39600,41900
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,84.3,40.3,308,91.7,180,422,865,689,455,561,532,469,499,554,532,568,869,924,1020,1010,953,873,825,748,730,689,880,2230,3030,3960,3840,4110,4360,4360,4230,4420,6160,7470,10200,10600,10900,10800,11700,10700,9960,11900,13700,12700,16000,17100,18600,21500,25500,27600,26600,19700,22900,19700,21700,23000,25500,23800,26100,31100,34500,37800,39300,42900,45200,50900,56500,57000,63800,63900,74500,74700,74400,72000,75300,77400,80000,92400,84600,95000,93600,108000,122000,125000,140000,124000,126000,147000,149000,165000,176000,186000,195000,203000,199000,214000,215000,210000,223000,219000,233000,237000,239000
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,323,389,418,469,462,528,598,598,605,619,583,649,1130,1230,1040,1300,1160,1260,1190,1430,1510,1680,1970,1970,2110,2210,2280,2380,2380,2120,1820,1750,1890,1590,1970,1970,2420,2440,2550,2480,3160,3320,3980,4520,5000,4420,5420,5740,5590,5680,5860,6080,6440,6260,6300,6720,6850,6410,6320,6320,6510,6510,6100,6170,6740,7060,7040,7140
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,29.3,36.7,36.7,33,47.7,47.7,22,22,22,25.7,25.7,29.3,25.7,25.7,29.3,44,36.7,66,88,29.3,51.3,62.3,62.3,62.3,69.7,62.3,58.7,69.7,73.3,62.3,80.7,66,80.7,99,106,117,62.3,66,66,69.7,77,84.3,128,304,183,488,458,4330,6350,7690,7060,7530,8180,7870,6430,6780,6890,9400,6990,7700,7310,6030,5650,5730,5690
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,7.33,3.67,11,14.7,18.3,32.1,45.9,59.7,73.5,87.3,101,115,129,142,156,170,184,198,211,225,239,253,266,280,294,308,322,335,349,363,377,390,404,418,432,446,459,473,487,501,514,528,542,556,570,583,597,611,625,639,652,666,680,694,707,791,861,768,586,616,605,627,601,711,766,762,545,560,402,497,497,561,619,628,680,671,689,722,741
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,29.3,22,22,14.7,14.7,14.7,18.3,25.7,33,40.3,36.7,538,1040,1540,2040,2540,3040,3550,4050,4550,5050,5550,6050,6550,7050,7560,8060,8560,9060,9560,10100,10500,10800,11400,12200,13000,13700,14500,15200,15600,16300,17100,18200,19100,20000,20700,21800,22700,23400,24200,24400,25400,24900,25400,25800,26000,28000,28100,27900,28700,28100,37100,34100,24500,19100,19900,18200,18900,18500,16900,15700,15400,15700,15200,17100,17300,17100,16400,20100,17900,14600,19000,19100,18000,19700,18900,15900,17500,18700,19600
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,33,3.67,6.11,8.56,11,80.7,202,227,279,304,367,400,381,370,312,337,334,341,440,447,466,436,436,271,334,440,458,436,436,436,964,876,836,711,1080,1060,961,1200,1210,1240,1190,1150,1130,1050,1040,1030,1030,1080,1110,1070,1060,1070,1240,1530,902,983,1160,1210,1200
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,9.54,8.06,6.6,5.13,3.67,3.67,88,62.3,99,183,271,227,242,323,319,337,352,341,396,422,407,645,825,1070,1730,1670,1650,1850,1410,1750,1740,1210,1180,1050,1370,1850,1820,1860,1480,1840,1650,1800,2200,2560,2640,2800,2990,2960,2940,3000,2200,2510,2800,2980,3150,3100,3470,4270,4430,4880,5160,4960,5320,5840,6420,6480,6340,6890,8110,9920,11800,12900,13900,14600,14900
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,132,158,169,158,172,194,165,176,198,194,169,231,242,425,345,323,356,396,432,520,550,579,630,671,623,483,765,710,837,793,1080,836,710,578,573,599,472,550,626,807,664,741,744,739,755,814,783,762,776,834,1050,880,1040,1340,1080,1200,1140,878,779,1200,1070,1040,1320,1620,2130,2020,2070,2130
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,73.3,73.3,77,47.7,62.3,69.7,62.3,88,69.7,91.7,114,91.7,88,125,84.3,95.3,114,128,77,99,99,121,117,143,220,128,128,121,161,209,220,194,194,220,235,297,517,488,737,601,422,400,513,528,587,616,887,1410,1280,1060,1320,1490,1660,689,106,180,121,73.3,238,275,282,711,1480,1750,1710,1600,2850,3130,3360,2650,3010,3030,3230,3960,3520,4970,6790,5700,4880,2320,3250,2810,3950,2730,642,3290,5460,8470,4940,6550,7990,8670,7580,9160,10900,12200,12300,10600,13600,15100,14900,16800,19400,22800,25300,29500,28600,33300,37900,40400,40600,44100,49400,46600,46100,51200,50200,51900,54300,58200,51400,43000,41500,42200,49600,53300,57600,52100,52500,57000,55300,54300,56400,61800,58200,64100,62800,59400,58900,57100,62600,65100,72700,69000,57100,68400,66800,58700,56000,64100,56600,51300,51800,47700,44200,47300,44700,47000
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,2210,2180,2170,2160,2150,2140,2130,2120,2050,2220,2050,2090,2340,2500,2660,2380,2560,2900,3010,3170,3170,3520,3960,4090,5910,6250,6080,6560,6060,6680,7250,8930,9270,10600,11400,11900,11600,11800,13800,14500,14600,15300,17900,18500,20900,16700,17400,19600,20100,21600,25400,29200,33100,34700,35300,34600,35000,38200,41300,43600,44200,46900,49300,53600,54300,55600,57000,50600,50300,61000,65900,62700,65300,65400,64000,65300,67600,76200,78000,82400,86400,83000,79800,79100,83400,86700,88900,97900,98100,98200,96400,102000,103000,106000,111000,115000,120000,129000,125000,118000,129000,126000,128000,137000,146000,147000,150000,151000,157000,159000,171000,118000,103000,110000,122000,109000,116000,152000,138000,163000,184000,207000,214000,214000,213000,212000,234000,238000,218000,192000,200000,202000,196000,198000,218000,202000,195000,138000,120000,123000,125000,80100,107000,165000,184000,197000,229000,202000,229000,227000,215000,227000,239000,269000,278000,266000,263000,272000,282000,299000,335000,346000,352000,348000,373000,385000,414000,440000,464000,482000,518000,500000,448000,507000,482000,507000,531000,506000,456000,438000,424000,408000,403000,388000,380000,375000,393000,401000,427000,416000,396000,391000,398000,413000,406000,426000,422000,416000,421000,416000,423000,424000,427000,416000,406000,400000,382000,390000,366000,366000,367000,336000,341000,343000,347000,338000
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,132,165,88,73.3,191,216,381,1010,1960,1430,2080,2850,2740,5310,5450,5370,5710,6310,7560,6750,6630,6570,6550,5510,5980,6300,4950,4010,4320,5760,4490,4530,4920,4980,4380,4610,4760,4780,4960,4790,4670,4780,4550,4620,4660,4860,4150,4090,4150,4230,4780,4920,5030,5260,5310,5250,5300,5320,5360
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,14.7,11,11,14.7,14.7,18.3,22,25.7,18.3,18.3,22,25.7,29.3,29.3,29.3,33,33,36.7,47.7,47.7,55,66,62.3,62.3,99,99,114,139,147,158,158,161,161,172,172,161,180,183,180,198,198,198,209,209,216,220,224,242,275,275,301,301,301,323,326,352,352,367,381,433,447,455,433,513,524,532,588,611
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0841,0.101,0.0673,0.0841,0.11,0.136,0.161,0.187,0.213,0.238,0.264,0.29,0.316,0.341,0.367,0.393,0.419,0.444,0.47,0.496,0.521,0.733,0.945,1.16,1.37,1.58,1.79,2.01,2.22,2.36,3.11,3.95,3.57,3.73,4.19,4,12.7,14.5,12.1,16.4,17.8,24,24.6,23.1,28.1,32.3,40.1,40.9,53.5,54.9,64.4,67.8,71.5,81.3,82.6,89.9,92.3,97.6,102,110,125,137,145,170,173,199,203,234,263,305,345,355,342,335,373,333,379,425,428,451,443,459,520,565,510,468,499,459,183,156,143,155,189,208,248,245,355,441,490,528,718,862,971,1090,1310,1490,1700,1740,1840,1860,2230,1960,1350,1720,1610,1710,1920,2310,2460,2800,3120,3380,3620,3830,4180,4740,5200,5690,6070,10600,11000,11400,12000,12800,13600,14500,15300,16000,16400,17100,18000,19100,20100,21000,21800,22900,23800,24600,25500,25700,26700,26200,26700,27000,27300,29400,29500,29300,30100,29500,27500,21400,15300,9920,6070,2290,4060,4430,4940,4310,4500,3740,3350,3740,4280,5020,6100,6370,5310,6140,6210,7810,8260,8020,8790,9590,9920,10700,10600
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,480,444,447,535,550,576,627,796,535,554,535,1010,1040,939,2690,898,931,979,928,913,891,884,1030,2390,3380,3530,3280,3380,3530,3630,4040,3230,4340,4190,4540,4540,3630,4800,4590,3450,4380,4420,4940,5200,5960,6640,7030,9180,9560,10900,10300,10900,12600,13200,13900,12800,13600,15200,16900,19200,20800,24400,28600,30900,33000,35600,33800,36400,41400,45600,49400,56700,63500,63000,69200,74400,77700,76700,85400,92200,98400,71700,102000,104000,101000,105000,111000,125000,134000,144000,153000,158000,161000,163000,171000,186000,199000,208000,221000,215000,221000,230000,238000,256000,274000,286000,304000,327000,326000,319000,344000,356000,383000,362000,443000,447000,446000,446000,459000,500000,536000,498000,463000,501000,525000,504000,388000,430000,474000,456000,332000,452000,458000,414000,481000,505000,539000,462000,386000,348000,365000,409000,453000,500000,564000,602000,649000,655000,661000,668000,680000,601000,116000,272000,318000,378000,433000,511000,577000,612000,624000,660000,724000,767000,779000,757000,756000,815000,836000,884000,946000,970000,961000,952000,937000,986000,1050000,1030000,1040000,1040000,1090000,1060000,1000000,1090000,1050000,1080000,1120000,1100000,1050000,1020000,1010000,1030000,1040000,1050000,1030000,1030000,1010000,1050000,1020000,967000,957000,941000,940000,960000,933000,925000,897000,901000,918000,901000,902000,888000,867000,879000,852000,854000,790000,833000,810000,815000,832000,793000,797000,802000,799000,760000
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,876,869,1020,1000,1190,1080,1290,1360,1320,1460,1350,1430,1720,1650,1710,1440,1500,1760,1690,2620,2290,2420,2470,2940,2740,2430,2990,2960,2650,2550,3030,3030,3640,2570,3300,3030,3270,3410,3300,3790,4210,3660,4310,5090,5160,5470,6210,6250,6370,6110,6740,7240,7440,7160,6810,9170,9630,8930,7500,9720,11200,14300,14200,14800,16100,16200,17700,18300
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,84.3,194,202,297,176,194,150,165,125,84.3,44,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,95.5,187,279,370,326,334,312,374,363,462,242,418,418,334,400,356,279,260,429,730,561,719,906,1120,1340,11,22,66,91.7,125,106,678,744,678,920,1300,1980,1820,2320,2380,2710,2860,2730,2680,2300,2830,2920,3370,3590,2850,253,238,136,227,213,110,66,125,169,1350,1640,4130,4580,4800,4890,5090,5960,6300,6820,7460,8130,9400,9820,10200,12200,13200,17000,18600,19500,22300,25500,24100,27800,31500,37200,36100,38700,42700,46700,47700,50900,50900,50200,51600,54800,56300,59800,58300,62600,67100,73300,83400,83400,85000,84300,86500,87000,89200,93900,98700,98000,103000,105000,105000,109000,110000,114000,113000,115000,111000,104000,97400,94600,91500,81800,78700,75000,71400,74900,73900
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,11,11,11,11,11,11,11,14.7,14.7,22,18.3,25.7,14.7,22,22,29.3,36.7,40.3,47.7,44,47.7,47.7,55,36.7,47.7,47.7,47.7,51.3,47.7,47.7,58.7,62.3,62.3,62.3,62.3,66,73.3,95.3,103,106,110,117,121,143,150,154,169,176,194,191,194,205,216,205,216,231,238,253,253,260,253,271,304,235,260,268,267,271
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,14.7,14.7,14.7,14.7,18.3,620,638,645,682,744,917,979,986,1130,1240,1350,1410,1380,1520,1770,1980,1740,1980,2140,2280,2300,2440,2710,2940,3070,3520,3310,3810,4120,4680,4500,3950,3610,3160,3400,3500,3670,3920,4080,4190,4970,4960,5920,5580,6760,7090,6580,7510,8650,8810,9770,10200,10700,10500,11200,12100,12200,12200,10900,11500,11100,11200,11600,12600,13600,15400,16400,16200,18400
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,158,411,616,660,697,700,697,719,726,748,748,792,814,832,803,840,843,887,902,902,946,964,990,983,953,979,994,997,994,1030,1050,1000,1030,1060,1090,1130,1170,1240,1290,1360,1430,1490,1560,1620,1700,1760,1830,1890,1970,2000,2110,2490,2600,2420,2110,2170,2450,2750,3060,3180
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,3.67,11,7.33,7.33,11,11,11,11,14.7,18.3,29.3,40.3,47.7,58.7,66,66,47.7,62.3,58.7,69.7,73.3,66,110,103,114,95.3,103,103,110,147,143,143,143,161,172,183,194,216,231,172,176,180,183,183,183,183,202,172,194,147,150,154,194,202,213,216,231,227,235,238,246,253,257,271,279,293,327,340
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,286,337,451,473,517,550,535,458,554,660,737,678,616,649,1080,1180,1320,1330,1370,1580,1500,1560,1800,1550,1830,1750,1900,2060,1520,1790,1800,1400,1250,1400,1420,1050,1310,1400,1180,1140,1120,1050,1050,1390,1460,1520,1590,1660,1680,1610,1600,1580,1570,1630,1440,1290,1560,1560,1570,1720,1780,1990,1940,2010,2010,2340,2350,2430
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,132,147,158,216,268,264,253,275,253,286,297,304,249,300,304,304,260,264,315,385,403,392,421,472,483,673,705,751,751,746,760,818,887,904,930,831,900,1010,1020,995,977,889,686,183,876,1020,1350,1230,1310,1340,1550,1800,1710,1960,2050,2090,2360,2370,2240,2100,2090,2190,2300,2790,2910,2960,2980,3000
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,348,359,334,378,436,455,576,587,587,616,737,700,711,722,751,806,876,1220,1180,1390,1330,1540,1510,1560,1670,1780,2000,2050,1930,2050,1810,1750,1980,1970,1890,1830,2150,2470,2690,2550,2650,3030,2800,3290,3830,3890,4080,4590,4670,4940,5610,6000,6670,7250,7430,7470,8610,8490,7690,7940,8620,8970,9230,9320,9830,9620,9590,9920
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,69.7,88,66,69.7,51.3,84.3,69.7,62.3,139,136,143,84.3,88,187,88,62.3,165,0,0,0,275,345,345,436,455,477,546,381,770,906,961,1160,1210,1210,1260,1430,1690,1810,1970,2120,2630,2800,2920,2560,2640,2760,2890,2880,2870,3310,3550,3590,4080,4330,4380,4100,4090,4430,4760,5260,5530,5760,6000,6440,6870,7380,7470,8540,8280,9590,9630,8860,9180,9280,9440,10200,10200,10800,11900,11700,12000,12300,13000,11600,11800,11800,11700,10700,4760,5590,9240,11000,11900,11300,10100,11800,13100,13800,15100,12500,11200,10200,10000,10600,11100,11900,13600,14800,14500,15800,17900,18900,19200,15900,8210,10800,13900,16400,20400,18400,22200,27200,31800,34000,35700,33200,38500,39300,41900,45400,49000,50600,56300,62400,61300,61700,58800,61100,62400,70000,69300,69400,73000,74100,75300,80000,83100,88100,86200,86800,86500,86800,89000,90800,86000,83300,84200,78100,76000,73500,69800,62500,63600,61900,61700,63200,61800,61400,61900,58600,60200,59200,62000,60500,60600,59900,58600,57500,51800,52200,50400,46900,43800,44000,46700,47500,49700,49900
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,18.3,23.2,28.1,33,25.7,22,18.3,18.3,14.7,11,3.67,3.67,3.67,741,645,777,917,781,913,950,964,1090,1240,1210,1090,1200,1310,1310,1400,1500,1440,1590,1260,1390,1470,1480,1750,1740,1610,1700,1900,1920,1980,1860,1750,1590,1540,1810,1620,1780,1840,1840,1900,2240,2120,2260,2420,2360,2470,2520,2620,2640,2840,2940,2870,2990,2980,3100,2970,3150,3500,3800,3730,3620,3490,3490,3480,3460,3540,3490,3620,3630
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,704,711,550,609,675,638,627,708,812,915,1020,1120,1230,1330,1440,1540,1640,1750,1850,1950,1860,2080,2020,2410,2680,2990,2700,3030,3360,3730,4380,4830,5200,5720,6020,6140,7690,8320,9010,9980,11000,13100,14400,15900,16200,18100,18500,21400,23800,27300,26300,25700,27100,31200,34500,34700,36300,36700,38400,43200,47200,38200,41100,40400,41600,44500,44000,43800,46000,44200,46000,46800,42900,39800,39100,43700,45600,44900,49700,55600,54400,57700,59000,58900,51300,52500,58200,57500,58600,58700,61900,66700,69800,73600,74900,78800,85500,88500,99300,104000,110000,121000,130000,144000,154000,151000,166000,172000,172000,187000,191000,195000,205000,217000,224000,231000,251000,263000,278000,282000,296000,313000,337000,348000,377000,386000,425000,455000,486000,526000,577000,617000,657000,699000,723000,765000,812000,880000,916000,934000,996000,1030000,1040000,1050000,1090000,1150000,1210000,1290000,1390000,1550000,1720000,1700000,1810000,1980000,2000000,2200000,2300000,2370000,2460000,2660000
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,14.7,22,180,403,480,770,862,1110,1290,1130,1210,2240,1540,3000,3370,4140,4460,5300,5500,5990,6120,6730,5850,5900,6020,6040,6770,7140,7140,7640,8270,8760,8310,9600,10600,11100,11100,12900,14800,18600,18100,16900,16600,17900,19300,20000,21800,25400,26800,29200,28800,26500,9460,19000,8780,3810,1350,4060,15500,21900,9840,9400,12700,13100,14800,20900,21800,22400,22200,23900,21400,26000,23000,22800,22400,24700,23400,24600,27600,33400,35800,39000,43300,49100,51300,54000,61800,82500,94000,95200,95000,100000,106000,105000,113000,122000,122000,124000,133000,132000,150000,181000,204000,220000,223000,227000,255000,281000,216000,244000,266000,298000,308000,317000,340000,344000,347000,377000,418000,447000,429000,508000,527000,412000,367000,507000,561000,585000,615000
